AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
18/2 Serventy Street,Wright,2611,APARTMENT,75,6,1,1,1,,Blackshaw Gungahlin,2022-09-08T00:00:00,2022-09-14T00:00:00,,,53900.0,405000.0
213/24 Philip Hodgins Street,Wright,2611,UNIT,,6,2,2,2,,Blackshaw Woden,2022-07-14T00:00:00,2022-09-13T00:00:00,,,45900.0,555000.0
30 Batterham Crescent,Denman Prospect,2611,HOUSE,,6,4,3,2,540.0,Belle Property Canberra,2022-05-12T00:00:00,2022-05-27T00:00:00,2022-09-13,SINGLE RESIDENTIAL DWELLING,705000.0,1815000.0
71/41 Philip Hodgins Street,Wright,2611,TOWNHOUSE,101,6,2,2,2,17935.0,Hayman Partners,2022-06-30T00:00:00,2022-07-15T00:00:00,2022-09-13,MULTIPLE UNIT DWELLING,40320.0,680000.0
47/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2022-07-29T00:00:00,2022-09-13,MULTIPLE UNIT DWELLING,,580000.0
16 McCusker Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,346.0,N/A,,2022-07-19T00:00:00,2022-09-13,SINGLE RESIDENTIAL DWELLING,,1220000.0
1/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-08-06T00:00:00,2022-09-13,MULTIPLE UNIT DWELLING,,639900.0
7/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-10-30T00:00:00,2022-09-12,MULTIPLE UNIT DWELLING,,629900.0
14 Hazel Hawke Avenue,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,154.0,N/A,,2022-06-23T00:00:00,2022-09-12,SINGLE RESIDENTIAL DWELLING,,400000.0
76 Churcher Crescent,Whitlam,2611,LAND,,,0,0,0,510.0,HIVE Property,2022-04-13T00:00:00,2022-06-17T00:00:00,2022-09-12,SINGLE RESIDENTIAL DWELLING,,890000.0
4/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2021-02-11T00:00:00,2022-09-09,MULTIPLE UNIT DWELLING,,639900.0
130/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-12-04T00:00:00,2022-09-09,MULTIPLE UNIT DWELLING,,549900.0
22 Keith Bain Crest,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,150.0,N/A,,2021-10-15T00:00:00,2022-09-08,SINGLE RESIDENTIAL DWELLING,,285000.0
14 Maggie Scott Terrace,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,,2022-07-05T00:00:00,2022-09-08,SINGLE RESIDENTIAL DWELLING,,550000.0
8 Keith Bain Crest,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,300.0,N/A,,2022-01-14T00:00:00,2022-09-08,SINGLE RESIDENTIAL DWELLING,,545762.0
9/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-12-24T00:00:00,2022-09-08,MULTIPLE UNIT DWELLING,,639900.0
133/41 Philip Hodgins Street,Wright,2611,APARTMENT,,6,2,2,1,,Blewitt Properties,2022-06-29T00:00:00,2022-09-07T00:00:00,,,40320.0,445000.0
2/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-12-11T00:00:00,2022-09-07,MULTIPLE UNIT DWELLING,,617302.0
10/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-09-03T00:00:00,2022-09-07,MULTIPLE UNIT DWELLING,,639900.0
29/2 Newchurch Street,Coombs,2611,N/A,N/A,N/A,N/A,N/A,N/A,9759.0,N/A,,2022-07-04T00:00:00,2022-09-07,MULTIPLE UNIT DWELLING,,415000.0
52/41 Philip Hodgins Street,Wright,2611,HOUSE,127,6,3,2,2,17935.0,The Property Collective,2022-06-16T00:00:00,2022-06-30T00:00:00,2022-09-06,MULTIPLE UNIT DWELLING,40320.0,752767.0
24 Ulysses Circuit,Wright,2611,HOUSE,,6,5,3,2,450.0,Blackshaw Manuka,2022-06-10T00:00:00,2022-07-15T00:00:00,2022-09-06,SINGLE RESIDENTIAL DWELLING,593000.0,1650000.0
5 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,,2022-02-02T00:00:00,2022-09-05,SINGLE RESIDENTIAL DWELLING,,400000.0
81/2 Newchurch Street,Coombs,2611,APARTMENT,74,6,2,2,2,9759.0,Belle Property Canberra,2022-06-23T00:00:00,2022-07-19T00:00:00,2022-09-05,MULTIPLE UNIT DWELLING,62320.0,560000.0
93/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-12-04T00:00:00,2022-09-05,MULTIPLE UNIT DWELLING,,526900.0
2 Keith Bain Crest,Whitlam,2611,HOUSE,,6,4,2,2,289.0,Confidence Real Estate ,2022-09-01T00:00:00,2022-09-01T00:00:00,,,,1103000.0
76A/25 McMichael Terrace,Denman Prospect,2611,TOWNHOUSE,141,6,3,2,2,,4 Leaf Property Group,2022-06-30T00:00:00,2022-09-01T00:00:00,,,,750000.0
4 Keith Bain Crest,Whitlam,2611,HOUSE,,6,3,2,2,,Confidence Real Estate ,2021-10-08T00:00:00,2022-09-01T00:00:00,,,,820000.0
8 Wishart Crescent,Denman Prospect,2611,HOUSE,,5,5,4,3,540.0,Luton Properties Gungahlin,2022-06-08T00:00:00,2022-07-02T00:00:00,2022-08-31,SINGLE RESIDENTIAL DWELLING,720000.0,1985000.0
77/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-10-13T00:00:00,2022-08-29,MULTIPLE UNIT DWELLING,,309900.0
64/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2021-06-16T00:00:00,2022-08-29,MULTIPLE UNIT DWELLING,,328500.0
13 Laurel Martyn View,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,672.0,N/A,,2022-03-23T00:00:00,2022-08-29,SINGLE RESIDENTIAL DWELLING,,500000.0
32 Laurel Martyn View,Whitlam,2611,LAND,,,0,0,0,638.0,Carter and Co Agents,2022-05-11T00:00:00,2022-06-10T00:00:00,2022-08-26,SINGLE RESIDENTIAL DWELLING,,875000.0
53/566 Cotter Road,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,2032.0,N/A,,2022-06-24T00:00:00,2022-08-26,MULTIPLE UNIT DWELLING,,430000.0
32/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2021-03-31T00:00:00,2022-08-26,MULTIPLE UNIT DWELLING,,360900.0
6/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-12-22T00:00:00,2022-08-26,MULTIPLE UNIT DWELLING,,639900.0
1 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,295.0,N/A,,2021-11-04T00:00:00,2022-08-25,SINGLE RESIDENTIAL DWELLING,,470000.0
26 Chipp Street,Coombs,2611,HOUSE,208,6,4,2,2,506.0,Bastion Property Group,2022-04-28T00:00:00,2022-06-14T00:00:00,2022-08-25,SINGLE RESIDENTIAL DWELLING,439000.0,1550000.0
3/566 Cotter Road,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,2032.0,N/A,,2022-06-29T00:00:00,2022-08-25,MULTIPLE UNIT DWELLING,,695000.0
241 Sculthorpe Avenue,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,223.0,N/A,,2021-12-13T00:00:00,2022-08-24,SINGLE RESIDENTIAL DWELLING,,425000.0
11 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,,2021-08-06T00:00:00,2022-08-24,SINGLE RESIDENTIAL DWELLING,,400000.0
27/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2022-02-25T00:00:00,2022-08-24,MULTIPLE UNIT DWELLING,,449900.0
20/2 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9199.0,N/A,,2020-10-09T00:00:00,2022-08-24,MULTIPLE UNIT DWELLING,,330000.0
245 John Gorton Drive,Wright,2611,TOWNHOUSE,196,6,4,3,2,,Blackshaw Weston Creek & Molonglo,2022-07-19T00:00:00,2022-08-24T00:00:00,,,2400000.0,975000.0
65/96 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,7736.0,N/A,,2019-01-07T00:00:00,2022-08-24,MULTIPLE UNIT DWELLING,,565900.0
4/41 Arthur Blakeley Way,Coombs,2611,N/A,N/A,N/A,N/A,N/A,N/A,8437.0,N/A,,2022-07-09T00:00:00,2022-08-24,MULTIPLE UNIT DWELLING,,815000.0
43 Peter Cullen Way,Wright,2611,HOUSE,183,6,4,2,2,405.0,HIVE Property,2022-06-02T00:00:00,2022-06-24T00:00:00,2022-08-24,SINGLE RESIDENTIAL DWELLING,545000.0,1350000.0
35 Tahourdin Vista,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,583.0,N/A,,2022-06-08T00:00:00,2022-08-22,SINGLE RESIDENTIAL DWELLING,,635000.0
18 Maggie Scott Terrace,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,300.0,N/A,,2022-02-23T00:00:00,2022-08-22,SINGLE RESIDENTIAL DWELLING,,549000.0
50/124 John Gorton Drive,Coombs,2611,TOWNHOUSE,,6,3,2,2,,Blackshaw Manuka,2022-07-28T00:00:00,2022-08-21T00:00:00,,,69978.0,735000.0
17 Duchesne Street,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,450.0,N/A,,2021-06-30T00:00:00,2022-08-19,SINGLE RESIDENTIAL DWELLING,,620000.0
6 Croll Street,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,450.0,N/A,,2022-05-26T00:00:00,2022-08-19,SINGLE RESIDENTIAL DWELLING,,350000.0
27/1 Arthur Blakeley Way,Coombs,2611,N/A,N/A,N/A,N/A,N/A,N/A,13183.0,N/A,,2016-06-01T00:00:00,2022-08-19,MULTIPLE UNIT DWELLING,,450000.0
